IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
226084-2020,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Society/Public,AP WAS IN POSSESSION OF A CONTROLLED SUBSTANCE,,
145983-2018,CRIMINAL TRESPASS,Business,ARRESTEE WAS PLACED INTO CUSTODY FOR CRIMINAL TRESPASS OFFENSE.,,
171790-2018,UNLAWFUL CARRYING WEAPON PROHIBITED PLACES,Society/Public,ARRESTEE HAD FIREARM IN PLACE WHERE IS WAS PROHIBITED.,Firearm (Type Not Stated),
084515-2020,PUBLIC INTOXICATION,Government,SUSP WAS INTOXICATED IN A PUBLIC PLACE,,
102472-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED ON K2 (SYNTHITIC MARIJUANA),,
201645-2018,EVADING ARREST DETENTION,Government,AP EVADED ON FOOT FROM OFFICERS,,
249360-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC PLACE CAUSING A DISTURBANCE,,
103589-2018,DWI 1 PREV CONV,Society/Public,A/P WAS DRIVING WHILE INTOXICATED.,,
024872-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSS OF MARIJUANA.,Other,Yes
020111-2018,PUBLIC INTOXICATION,Government,INTOXICATED IN A PUBLIC PLACE,Other,No
103416-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED AND PASSED OUT ON THE SIDEWALK,,
056724-2019,CRIMINAL TRESPASS WARNING,Business,CRIMINAL TRESSPASS WARNING,,
140510-2018,FORGERY FINANCIAL INSTRUMENT,Government,AP FORGED A CHECK AND PRODUCED IT TO WIT AT COMPS LOCATION,,
195970-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
024863-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,Other,No
154005-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP HAD COCAINE AND METH ON HIS PERSON,,
067806-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOX,,
182486-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,AP WAS ARRESTED FOR POSSESION OF METHAMPHETAMINE,,
106196-2018,POSS MARIJUANA <2OZ,Society/Public,AP HAD MARIJUANA IN HIS POSSESSION,,
219528-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP POSS OF DRUG PARAPHERNALIA,,
222957-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,SUSP REMOVED COMP VEH W/O CONSENT,,
078516-2018,DWI 2 OR MORE PREV CONV,Society/Public,A/P WAS PLACED UNDER ARREST FOR DWI.,,
117850-2018,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Government,THEFT OF VEHICLE 7K,,
023650-2018,CRIMINAL TRESPASS,Business,A/P ARRESTED FOR CRIMINAL TRESPASS AFTER BEING GIVEN CT WARNING,Other,No
224536-2018,CRIMINAL TRESPASS WARNING,Business,CRIMINAL TRESPASS WARNING,,
273671-2018,DWI BAC > OR EQUAL TO 0.15,Government,AP WAS OPERATING A MOTOR VEHICLE IN PUBLIC PLACE,,
179764-2018,CRIMINAL TRESPASS,Business,AP WAS CT FROM THE PROPERTY AND CAME BACK,,
078393-2018,PUBLIC INTOXICATION,Government,AP WAS A DANGER TO HIMSELF DUE TO INTOXICATION IN PUBLIC.,,
237983-2019,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED BY ALCOHOL.,,
104304-2018,PUBLIC INTOXICATION,Society/Public,BOTH A/P'S WERE ARRESTED FOR PUBLIC INTOXICATION.,,
095120-2018,TERRORISTIC THREAT FEAR IMMINENT SBI,Individual,AP THREATENED TO KILL COMP WHILE HOLDING A HAMMER,,UNK
063268-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,A/P RESISTED TRANSPORT TO JAIL FOLLOWING ARREST.,Other,UNK
188862-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Society/Public,AP WAS IN POSSESSION OF MARIJUANA,,
081988-2021,"BMV <$1,500  2/MORE PREV CONV- (NOT EMPLOYEE)",Individual,SUSP WENT INTO VEH CONSENT AND TOOK PROPERTY,,
056506-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS CAUSING A DISTURBANCE WHILE INTOXICATED,,
197027-2018,PUBLIC INTOXICATION,Society/Public,SUSPECT WAS INTOXICATED IN PUBLIC PLACE/ CAUSED DISTURBANCE.,,
051222-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Society/Public,FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY,,
135688-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
021070-2018,DWI,Society/Public,AP WAS DRIVING A MOTOR VEHICLE WHILE INTOXICATED.,Other,No
147546-2018,RESIST ARREST SEARCH OR TRANSPORT,Individual,AP RESISTED ARREST USING FORCE,Personal Weapons (Hands-Feet ETC),UNK
240515-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN PUBLIC. NFI,,
033573-2019,CRIMINAL TRESPASS,Business,SUSP WAS ARRESTED FOR CT,,
262884-2018,PUBLIC INTOXICATION,Society/Public,**A/P WAS OBSERVED INTOXICATED IN A PUBLIC PLACE**,,
066817-2018,DWI 1 PREV CONV,Government,AP WAS OPERATING MOTOR VEHICLE ON PUBLIC ROAD WHILE INTOXICATED,,
068207-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
009004-2018,DWI 1 PREV CONV,Government,A/P WAS DRIVING WHILE INTOXICATED.,Other,No
225527-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,A/P GAVE A FALASE NAME TO A/O WHILE DETAINED.,,
019286-2018,PUBLIC INTOXICATION,Society/Public,SUSP WAS INTOXICATED AND A DANGER TO HIMSELF AND OTHERS.,Personal Weapons (Hands-Feet ETC),No
147299-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED,,
101145-2018,PUBLIC INTOXICATION,Society/Public,AP WAS FOUND TO BE INTOXICATED ON K2/SYNTHETIC CANNABINOIDS,,
035110-2018,PUBLIC INTOXICATION,Society/Public,SUSP WAS INTOXICATED IN A PUBLIC PLACE,,
181471-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP WAS FOUND TO BE IN POSSESSION OF DRUG PARAPHERNALIA.,,
130485-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,SUSPECTS WERE OBSERVED SELLING DRUGS,,
107101-2018,DWI W/OPEN CONTAINER,Society/Public,AP DROVE A MOTOR VEHICLE WHILE INTOXICATED.,,
140549-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,NARCOTICS INVESTIGATION,,
091349-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP HAD PCP AND MARIJUANA IN HIS POSSESSION,,
262636-2018,PUBLIC INTOXICATION,Society/Public,ARRESTED PERSON TAKEN TO CDC FOR PUBLIC INTOXICATION,,
078030-2019,RESIST ARREST SEARCH OR TRANSPORT,Government,ARRESTED PERSON PULLED AWAY FROM OFFICERS WHEN BEING DETAINED,,
186404-2018,DWI,Society/Public,A/P WAS DRIVING WHILE INTOXICATED.,,
075611-2018,EVADING ARREST DETENTION,Government,AP EVADED OFFICERS ON FOOT,,
020638-2018,CRIMINAL TRESPASS,Business,SUSP VIOLATED CRIMINAL TRESPASS WARNING.,Other,No
078817-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED WHILE IN PUBLIC AND A DANGER TO HIMSELF,,
199352-2020,ASSAULT -BODILY INJURY ONLY,Individual,AP HIT COMP WITH A POLE CAUSING PAIN,Other,UNK
196076-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,POSSESSION  OF DRUG PARAPHERNALIA,,
209080-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,"AP ENTERED STORE, PLACED PROP IN HER PURSE W/O PURCHASING",,
268669-2018,DWI 1 PREV CONV,Society/Public,AP WAS DRIVING WHILE INTOXICATED WITH 1 PREV CONVICTION,,
203446-2018,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,Society/Public,ARRESTEE WAS FOUND TO BE IN POSSESSION OF SUSPECTED MARIJUANA,,
183094-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSS OF MARIJUANA,,
272882-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
103437-2018,POSS CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,Society/Public,AP HILL POSSESSED CRACK COCAINE,,
233592-2017,CRIMINAL TRESPASS,Business,CRIMINAL TRESPASS VIOLATION,Other,No
217066-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP WAS IN POSSESION OF OTHER PERSONS IDENTYFYING INFO,,
075213-2018,PUBLIC INTOXICATION,Government,"AP IS UNDERAGE, AND WAS INTOXICATED ON A PUBLIC STREET.",,
079359-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Society/Public,SUSP WAS SITTING INSIDE OF A STOLEN VEHICLE IN A PARKING SPOT,,
085203-2018,DWI BAC > OR EQUAL TO 0.15,Society/Public,"A/P PEREZ, DIANA WAS OPERATING A MOTOR VEHICLE WHILE INTOX",,
261488-2018,CRIMINAL TRESPASS,Business,AP WAS CAUGHT TREPASSING ON PROPERTY / ARRESTED,,
118061-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,A/P RESISTED ARREST BY A/OS PULLING AWAY FROM THEM,Personal Weapons (Hands-Feet ETC),UNK
181665-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,SUSP POINTED PISTOL AT COMP'S STATED WAS GOING TO SHOOT.,Handgun,UNK
111853-2018,DWI,Business,A/P WAS DRIVING WHILE INTOXICATED.,,
122278-2018,PUBLIC INTOXICATION,Government,AP WAS UNDER THE INFLUENCE OF UNKNOWN SUBSTANCE IN PUBLIC,,
215881-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP ARRESTED FOR OPEN CONTAINER OF ALCOHOL,,
254380-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,A/P WAS IN POSSESSION OF 0.1 GRAMS OF POWDER COCAINE.,,
210160-2018,DWI 1 PREV CONV,Society/Public,A/P WAS DRIVING A MOTOR VEH WHILE INTOXICATED FROM ALCOHOL/DRUGS.,,
180364-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,A/P TOOK PROPERTY FROM COMP BUSINESS WITHOUT CONSENT,,
009696-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Other,No
088153-2018,DWI BAC > OR EQUAL TO 0.15,Society/Public,"INVOLVED IN 2 VEH. ACC. , FOUND TO BE UNDER INFLUENCE OF ALCOHOL",,
273523-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP RESISTED ARREST.,,
227820-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF A USABLE AMOUNT OF MARIJUANA,,
134809-2018,BURGLARY OF HABITATION -NO FORCED ENTRY,Individual,A/P ENTERED A OPEN GARAGE TOOK PROPERTY,,
180629-2018,RESIST ARREST SEARCH OR TRANSPORT,Individual,AP INTENTIONALLY RESISTED AO'S TRANSPORT.,Personal Weapons (Hands-Feet ETC),UNK
058539-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC.,,
198082-2018,ASSAULT -BODILY INJURY ONLY,Individual,ARRESTED PERSON WAS WRESTLING W/ COMP WHICH RESULTED IN COMP INJ,Personal Weapons (Hands-Feet ETC),UNK
152366-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSON WAS PUBLICALLY INTOXICATED.,,
112823-2018,PUBLIC INTOXICATION,Government,THE ARRESTED PERSON WAS ARRESTED IN PUBLIC,,
199875-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,AP SHOPLIFTED FROM WALMART,,
195679-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC STREET.,,
133776-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED BY ALCOHOL,,
236800-2019,POSS MARIJUANA <2OZ,Society/Public,THE AP WAS ISSUED A CITE AND RELEASE FOR POSS OF MARIJUANA.,,
078484-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Society/Public,AP WAS IN POSSESSION OF MARIJUANA IN A DRUG FREE ZONE,,
111881-2018,DWI 1 PREV CONV,Society/Public,AP ARRESTED DWI,,
034580-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC AREA,,
263533-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNK SUSP TOOK COMP'S VEH W/O CONSENT,,
092496-2018,PUBLIC INTOXICATION,Society/Public,SUSP WAS INTOXICATED IN PUBLIC.,,
060571-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION ARREST.,,
076087-2018,UNLAWFUL CARRY HANDGUN LIC HOLDER,Society/Public,ARRESTED PERSON WAS UNLAWFULL CARRYING A FIREARM,Handgun,
165658-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP USED FORCE AGAINST OFFICERS TO PREVENT FROM BEING ARRESTED,Personal Weapons (Hands-Feet ETC),UNK
158564-2018,ROBBERY OF INDIVIDUAL (AGG),Individual,SUSP POINTED GUN AT COMP AND TOOK PROPERTY,Handgun,UNK
233234-2018,CRIMINAL TRESPASS,Business,ARRESTEE REFUSED TO LEVAE BUSINESS PROPERTY,,
255134-2018,PUBLIC INTOXICATION,Government,SUSP WAS INTOXICATED IN PUBLIC,,
003897-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSON WAS CHARGED WITH PUBLIC INTOXICATION,Other,No
077763-2018,PUBLIC INTOXICATION,Society/Public,ARRESTEE WAS A DANGER TO OTHERS IN AN INTOXICATED STATE,,
258408-2018,CRIMINAL TRESPASS WARNING,Business,CT WARNING,,
153157-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS IN POSS OF PISTOL AND MARIJUANA,Other Firearm,
025018-2018,POSS MARIJUANA <2OZ,Society/Public,SUSP FOUND IN POSS OF MARIJUANA,Other,No
052058-2018,DWI,Society/Public,DWI,,
239955-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
189404-2018,POSS MARIJUANA <2OZ,Society/Public,ARRESTED PERSON HAD IN HIS POSSESSION (((())))))) MARIJUANA,,
059719-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION.,,
265705-2017,POSS MARIJUANA <2OZ,Government,AP WAS IN POSSESSION PERSONAL AMOUNT OF MARIJUANA.,Other,No
045596-2018,POSS MARIJUANA <2OZ,Society/Public,THE A/P WAS IN POSSSESSION OF MARIJUANA AT THE TIME OF THE ARREST,,
277182-2018,"THEFT OF PROP <$2,500 2+CONV ENH (SHOPLIFT-NOT EMP) PC31.03(f)",Business,AP TOOK PROPERTY W/O PERMISSION,,
201593-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
149639-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,Individual,SUSPECT POSSESSED PERSONAL IDENTIFIERS W/OUT CONSENT,,
224598-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED AND A DANGER TO HIMSELF AND OTHERS IN PUBLIC,,
169905-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP POSSESSED CRACK-COCAINE UNDER A FLOOR MAT.,,
144231-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Society/Public,SUSP WAS IN POSS OF MARIJUANA,,
059858-2018,POSS MARIJUANA <2OZ,Society/Public,A/P STATED TO A/O THAT HE HAD MARIJUANA WHEN STOPPED ON TRAFFIC,,
023823-2021,ASSAULT (AGG) -DEADLY WEAPON,Individual,SUSP POINTED A GUN AT COMP,Handgun,UNK
055939-2018,UNLAWFUL CARRYING WEAPON,Society/Public,SUSP WAS IN POSSESSION OF MARIJUANA AND A GUN,Handgun,
263874-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,A/P POINTED A HANDGUN AND TRHEATENED THE COMP.,Firearm (Type Not Stated),UNK
250590-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSS OF MARIJUANA.,,
143494-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOX IN PUBLIC & A DANGER TO HIMSELF IF NOT ARRESTED,,
156946-2018,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,Government,FAILURE TO COMPLY WITH SEX OFFENDER REGISTRATION REQUIREMENTS,,
129169-2018,CRIMINAL TRESPASS,Society/Public,CRIMINAL TRESPASSING WARNING,,
240389-2018,EVADING ARREST DETENTION,Society/Public,A/P EVADED OFFICERS ON FOOT,,
005040-2018,DWI,Government,AP WAS DRIVING A MOTOR VEHICLE UNDER THE INFLUENCE,Motor Vehicle,No
228413-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED,,
174864-2018,PUBLIC INTOXICATION,Society/Public,SUSPECT WAS INTOXICATED IN A PUBLIC PLACE.,,
078442-2018,DWI,Society/Public,AP WAS DRIVING WHILE INTOXICATED ON A PUBLIC ROAD,,
189059-2018,TRAF VIO -DRIVING W VIO  FIN RESP ACCIDENT SBI/DEATH,Society/Public,"A/P STRUCK COMP'S VEH, W/O INSURANCE, CAUSING COMP SBI",,
209453-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,A/P WAS IN POSSESSION OF DRUG PARAPHERNAILIA,,
083463-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,AP IN POSSESSION OF FIREARM WHILE FELON,Handgun,
006711-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Other,No
240955-2018,PUBLIC INTOXICATION,Government,AP WAS PUBLIC INTOXICATED.,,
296254-2017,DWI,Government,A/P  OPERATED A VEHICLE WHILE INTOXICATED AND HIT A PARKED VEH,Other,No
260730-2018,BURGLARY OF BUILDING - FORCED ENTRY,Business,AP FORCED ENTRY TO VICTIM'S BIULDING,,
022628-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED AND TRANSPORTED TO CDC,Other,No
136511-2018,TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,Society/Public,A/P DROVE A MOTOR VEHICLE W/O INSURANCE/FINANCIAL RESPONSIBILITY,,
257150-2018,CRIMINAL TRESPASS,Business,SUSP WAS ON THE COMP PROPERTY AND WAS GIVEN TRE PASS NOT TO RETUR,,
215628-2018,DWI 2 OR MORE PREV CONV,Society/Public,AP WAS DRIVING WHILE INTOXICATED ON A PUBLIC ROAD,,
132231-2018,EVADING ARREST DETENTION,Individual,AP EVADED DENTION BY RUNNING.,,
215888-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Government,AP DRIVING WHILE LIC SUSP NO INSUR,,
042555-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION,,
176464-2018,ASSAULT -BODILY INJURY ONLY,Individual,A/P PUNCHED COMP; CAUSING PAIN.,Personal Weapons (Hands-Feet ETC),UNK
247009-2018,CRIMINAL TRESPASS,Society/Public,SUSP HAD A CRIMINAL TRESPASS AT THE LOCATION.,,
107699-2019,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED,,
063023-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,Society/Public,A/P WAS IN POSSESSION OF FOUR CREDIT CARDS WITH DIFFERENT NAMES,,
211282-2018,CRIMINAL TRESPASS,Business,A/P ENTERED AND REMAINED ON COMP'S PROPERTY WITHOUT PERMISSION,,
202961-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED,,
101377-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Society/Public,SUSPECT HAD A BLUNT CONTAINING MARIJUANA IN THE CENTER CONSOLE,,
072220-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED AND CAUSING A DISTURBANCE.,,
205526-2018,TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,Society/Public,FMFR,,
113307-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC AND A DANGER TO HIMSELF,,
177162-2018,MANIFESTING FOR SELLING DRUGS,Society/Public,THE AP PREFORMED A HAND TO HAND TRANSACTION.,,
215153-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN A PUBLIC PLACE POSING A DANGER TO HIMSELF,,
216106-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF A CONTROLLED SUBSTANCE,,
273523-2018,PUBLIC INTOXICATION,Society/Public,AP WAS ARRESTED FOR BEING INTOXICATED IN PUBLIC.,,
257156-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN A PUBLIC PLACE,,
272976-2018,PUBLIC INTOXICATION,Government,AP INTOXICATED IN PUBLIC AREA,,
226727-2018,BMV,Government,AP STOLE A BACKPACK OUT OF AN UNLOCKED VEHICLE.,,
234828-2018,DWI W/OPEN CONTAINER,Government,ARRESTEE WAS DRIVING WHILE INTOXICATED,,
220021-2020,PUBLIC INTOXICATION,Government,AP INTOXICATED IN PUBLIC,,
250989-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,SUSP PROVIDED A FALSE NAME AND DOB TO AOS,,
260169-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS POSSESSION OF HEROIN,,
272954-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF BLACK TAR HEROINE.,,
017218-2021,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED AND CAUSING A DISTURBANCE.,,
231856-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PARKING LOT,,
073142-2018,DWI,Society/Public,DWI,,
004709-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Other,No
005303-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE.,Other,No
213414-2018,PUBLIC INTOXICATION,Society/Public,AP WAS ARRESTED FOR PUBLIC INTOXICATION,,
256293-2018,CRIMINAL TRESPASS,Business,AP REFUSED TO LEAVE LOC,,
259106-2018,CRIMINAL TRESPASS,Business,CRIMINAL TRESPASS,,
139508-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED BY ALCOHOL.,,
212959-2018,CRIMINAL TRESPASS WARNING,Business,SUSP WAS ISSUED A CT WARNING IN THE PRESENCE OF AO 9266,,
054336-2018,FAIL TO ID -FUGITIVE INTENT GIVE FALSE INFO,Society/Public,A/P TOLD A/O WRONG NAME AND BIRTHDAY,,
082713-2018,POSS MARIJUANA <2OZ,Society/Public,THE ARRESTED PERSON WAS IN POSSESSION OF MARIJUANA.,,
148439-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,POSS CONTROLLED SUBSTANCE.,,
177906-2018,PUBLIC INTOXICATION,Government,AP WAS A DANGER TO HERSELF DUE TO HER BEING INTOXICATED,,
272219-2018,DWI,Society/Public,ARRESTED PERSON DRIVING WHILE INTOXICATED ON A PUBLIC STREET,,
100520-2018,POSS MARIJUANA <2OZ,Society/Public,AP HAD POSS MARIJ,,
135560-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED.,,
203828-2018,EVADING ARREST DETENTION,Society/Public,A/P EVADED DETENTION ON FOOT,,
096657-2018,DISORDERLY CONDUCT,Government,"AP SIEPS, BERNARD USED PROFANITY IN A PUBLIC PLACE",,
090968-2018,UNLAWFUL CARRYING WEAPON ON ALCOHOL PREMISES,Society/Public,SUSPECT FOUND IN POSSESSION OF HANDGUN,Handgun,
089041-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
040517-2018,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",Business,AP INTENTIONALLY DAMAGED PROP WITHOUT COMP'S CONSENT,,
004583-2018,PUBLIC INTOXICATION,Government,AP WAS IN INTOXICATED IN A PUBLIC PLACE,Other,No
214505-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Government,AP WAS DRIVING WITH DENIED DL & SUSPENDED ID--NO INSURANCE,,
028298-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF MARIJUANA,Handgun,G
149327-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
273267-2018,CRIMINAL TRESPASS,Business,CRIMINAL TRESPASS,,
239889-2018,DWI,Government,SUSPECT ARRESTED FOR DWI.,,
066671-2018,PUBLIC INTOXICATION,Government,A/P WAS ARRESTED FOR PUBLIC INTOXICATION,,
069869-2018,PUBLIC INTOXICATION,Government,SUSP WAS INTOXICATED IN PUBLIC,,
220175-2018,POSS MARIJUANA <2OZ,Society/Public,A/P'S WERE IN POSSESION OF MARIJUANA,,
074558-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION ON A PUBLIC STREET.,,
085069-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
279417-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Society/Public,AP FOUND IN POSS OF METHAMPHETAMINE,,
094376-2018,PUBLIC INTOXICATION,Society/Public,SUSP WAS INTOXICATED IN A PUBLIC PLACE.,,
137108-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED FROM ALCOHOL,,
066985-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
090924-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP POSSESSED HANDGUN WHILE COMMITTING OTHER FELONY OFFENSE,Handgun,
217369-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Society/Public,A/P DROVE MOTOR VEHICLE W/ INVALID ID/DL AND W/O INSURANCE.,,
145622-2020,PUBLIC INTOXICATION,Society/Public,AP  WAS INTOXICATED IN A PUBLIC PLACE.,,
200224-2018,PUBLIC INTOXICATION,Government,AP WAS FOUND INTOXICATED IN PUBLIC,,
003986-2019,PUBLIC INTOXICATION,Society/Public,SUSP INTOXICATED IN PUBLIC AREA,,
020591-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,Other,No
006337-2019,THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),Business,AP TOOK PROPERTY WITHOUT CONSENT,,
270795-2018,POSS CONT SUB PEN GRP 4 <28G,Society/Public,AP ARRESTED FOR POSS OF CONTROLLED SUBSTANCE.,,
029770-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Other,No
058346-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED BY ALCOHOL AND TAKEN TO CDC.,,
095060-2018,PUBLIC INTOXICATION,Business,AP WAS INTOXICATED IN PUBLIC,,
241974-2016,PUBLIC INTOXICATION,Government,K2 INTOXICATION,Other,No
211884-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Society/Public,AP WAS OPERATING A MOTOR VEHICLE W/OUT A DL.,,
192398-2018,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),Individual,AP CONSPIRED WITH UNK SUSP TO STEAL COMPS VEHICLE,,
171491-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
063352-2018,PUBLIC INTOXICATION,Government,AP IS INTOXICATED BY ALCOHOL,,
